Date,Bench_MaxDD_5d,Bench_MaxDD_21d,Bench_MaxDD_63d,Bench_MaxDD_126d,Bench_MaxDD_252d,MA200_LowCost_MaxDD_5d,MA200_LowCost_MaxDD_21d,MA200_LowCost_MaxDD_63d,MA200_LowCost_MaxDD_126d,MA200_LowCost_MaxDD_252d,MA200_HighCost_MaxDD_5d,MA200_HighCost_MaxDD_21d,MA200_HighCost_MaxDD_63d,MA200_HighCost_MaxDD_126d,MA200_HighCost_MaxDD_252d,Tech_Drift_MaxDD_5d,Tech_Drift_MaxDD_21d,Tech_Drift_MaxDD_63d,Tech_Drift_MaxDD_126d,Tech_Drift_MaxDD_252d
2005-01-07,-0.011986038909169173,,,,,-0.01208604125199377,,,,,-0.012123763642820513,,,,,-0.029113717097623688,,,,
2005-01-10,-0.004296858197814427,,,,,-0.0007473652922978641,,,,,-0.0007755580944891459,,,,,-0.011087840136465507,,,,
2005-01-11,-0.0035869794939706744,,,,,-0.00045940332047901463,,,,,-0.0005169378453166818,,,,,-0.007522846584441074,,,,
2005-01-12,-0.0035869794939707616,,,,,-0.00045940332047898693,,,,,-0.0005169378453165267,,,,,-0.0075228465844410395,,,,
2005-01-13,-0.004858553214805606,,,,,-0.0004594033204790745,,,,,-0.0005169378453166088,,,,,-0.013219767904503863,,,,
2005-01-14,-0.004858553214805555,,,,,-0.000459403320479027,,,,,-0.0005169378453166748,,,,,-0.01321976790450391,,,,
2005-01-18,-0.0038323242702737173,,,,,0.0,,,,,0.0,,,,,-0.013219767904503858,,,,
2005-01-19,-0.005693456612141288,,,,,-0.0036843414964403717,,,,,-0.003801724130175038,,,,,-0.016528129655186543,,,,
2005-01-20,-0.008785659525550061,,,,,-0.005636801697671471,,,,,-0.00586075457653968,,,,,-0.03538158185371782,,,,
2005-01-21,-0.012237640160570388,,,,,-0.00803773444055732,,,,,-0.008367224727155141,,,,,-0.04312919669679599,,,,
2005-01-24,-0.013327945423794238,,,,,-0.008037734440557425,,,,,-0.008367224727155152,,,,,-0.056558914803342006,,,,
2005-01-25,-0.007678204334892607,,,,,-0.006606992008792572,,,,,-0.006721696631959627,,,,,-0.040703538510074785,,,,
2005-01-26,-0.0045825465923645505,,,,,-0.004656436803616618,,,,,-0.004664449342142514,,,,,-0.02195410387282552,,,,
2005-01-27,-0.0011038133336050062,,,,,-0.00349700083383905,,,,,-0.0032950139779315403,,,,,-0.014035038022045898,,,,
2005-01-28,0.0,,,,,-0.003497000833839124,,,,,-0.003295013977931526,,,,,-0.0061915767843340845,,,,
2005-01-31,0.0,,,,,-0.0001331160850085748,,,,,-8.529899832676104e-05,,,,,-0.006191576784334102,,,,
2005-02-01,0.0,-0.016242380143092344,,,,-0.00013311608500848226,-0.01208604125199377,,,,-8.529899832681506e-05,-0.012123763642820513,,,,-0.006191576784334154,-0.07518970713970848,,,
2005-02-02,0.0,-0.013327945423794228,,,,0.0,-0.01026699109040853,,,,0.0,-0.010497866725853042,,,,-0.0048519096185724005,-0.058019296098698256,,,
2005-02-03,-0.0020656961605034726,-0.013327945423794167,,,,-0.0015479211425839775,-0.010266991090408776,,,,-0.0015738401818765364,-0.010497866725853098,,,,-0.011442424694744829,-0.056558914803342096,,,
2005-02-04,-0.0020656961605033984,-0.013327945423794126,,,,-0.00154792114258412,-0.010266991090408491,,,,-0.001573840181876363,-0.01049786672585342,,,,-0.011442424694744874,-0.056558914803341916,,,
2005-02-07,-0.0020656961605034895,-0.01332794542379412,,,,-0.0015479211425841373,-0.010266991090408292,,,,-0.001573840181876362,-0.010497866725853308,,,,-0.011442424694744784,-0.05655891480334202,,,
2005-02-08,-0.0020656961605034036,-0.01332794542379419,,,,-0.0015479211425840167,-0.010266991090408505,,,,-0.0015738401818764674,-0.010497866725853067,,,,-0.011442424694744723,-0.0565589148033421,,,
2005-02-09,-0.0034062207484484384,-0.013327945423794113,,,,-0.002240495534474588,-0.010266991090408501,,,,-0.0024164351177015926,-0.010497866725853343,,,,-0.016952818057735346,-0.056558914803342054,,,
2005-02-10,-0.0034062207484484995,-0.01332794542379403,,,,-0.007505506215111261,-0.01026699109040828,,,,-0.007359246432618278,-0.010497866725853126,,,,-0.016952818057735394,-0.05655891480334201,,,
2005-02-11,-0.003406220748448448,-0.013327945423794129,,,,-0.007505506215111265,-0.01026699109040834,,,,-0.007359246432618413,-0.010497866725853122,,,,-0.016693397324393938,-0.05655891480334201,,,
2005-02-14,-0.003406220748448473,-0.01332794542379427,,,,-0.007505506215111364,-0.010266991090408295,,,,-0.00735924643261833,-0.01049786672585329,,,,-0.016693397324393948,-0.05655891480334199,,,
2005-02-15,-0.0003696083777516075,-0.013327945423794238,,,,-0.005276833402310717,-0.010266991090408423,,,,-0.004954784229529565,-0.010497866725853223,,,,0.0,-0.056558914803342006,,,
2005-02-16,-0.0003696083777516015,-0.007678204334892607,,,,-0.0023913587963998737,-0.0075055062151113214,,,,-0.002231477049976653,-0.007359246432618336,,,,-0.0036730441253846964,-0.040703538510074785,,,
2005-02-17,-0.005116170249400925,-0.005116170249400813,,,,-0.00954112310500272,-0.011978947693575066,,,,-0.009405679505172246,-0.011635439365926974,,,,-0.017051285190535868,-0.02195410387282552,,,
2005-02-18,-0.005116170249400874,-0.0051161702494009614,,,,-0.013423053121145345,-0.015851323083407105,,,,-0.013178450883702932,-0.015399718494896858,,,,-0.020199575252649815,-0.020199575252649794,,,
2005-02-22,-0.014213318429020134,-0.014213318429020048,,,,-0.022077941112224518,-0.025247422411388762,,,,-0.02204707073585785,-0.02489658421331944,,,,-0.03226669269153141,-0.032266692691531325,,,
2005-02-23,-0.014143840981199756,-0.014213318429020187,,,,-0.020500000267708367,-0.025247422411388658,,,,-0.020511034474347226,-0.02489658421331967,,,,-0.028699061485339437,-0.032266692691531346,,,
2005-02-24,-0.010050142333012269,-0.01421331842902016,,,,-0.013429344128690198,-0.025247422411388682,,,,-0.013417260569202167,-0.024896584213319466,,,,-0.01547935031782903,-0.03226669269153122,,,
2005-02-25,-0.010050142333012314,-0.014213318429019902,,,,-0.009547438866066587,-0.02524742241138847,,,,-0.009645402197027223,-0.02489658421331936,,,,-0.012315893251417182,-0.03226669269153143,,,
2005-02-28,-0.0050066877835962436,-0.01421331842901993,,,,-0.008706632278872056,-0.02524742241138871,,,,-0.008683991425212019,-0.024896584213319382,,,,-0.01063272832951445,-0.03226669269153136,,,
2005-03-01,-0.005006687783596154,-0.014213318429020147,,,,-0.008706632278872023,-0.025247422411388522,,,,-0.00868399142521193,-0.024896584213319417,,,,-0.010632728329514432,-0.032266692691531214,,,
2005-03-02,-0.005006687783596162,-0.014213318429019737,,,,-0.008706632278872055,-0.025247422411388384,,,,-0.008683991425212097,-0.024896584213319476,,,,-0.01063272832951453,-0.03226669269153145,,,
2005-03-03,-0.005006687783596221,-0.014213318429020126,,,,-0.008706632278872065,-0.025247422411388734,,,,-0.008683991425212067,-0.024896584213319407,,,,-0.010632728329514458,-0.03226669269153143,,,
2005-03-04,-0.0008076919859502507,-0.014213318429019997,,,,-0.0009967648770645373,-0.025247422411388876,,,,-0.0009954041089495875,-0.024896584213319632,,,,-0.008769642548987471,-0.032266692691531394,,,
2005-03-07,-0.0008076919859501703,-0.014213318429020048,,,,-0.0009967648770645209,-0.02524742241138854,,,,-0.0009954041089496111,-0.02489658421331963,,,,-0.008769642548987612,-0.032266692691531436,,,
2005-03-08,-0.0031091726649503217,-0.014213318429019822,,,,-0.00662940207904287,-0.02524742241138873,,,,-0.006608567558829178,-0.024896584213319604,,,,-0.009984636223005711,-0.03226669269153141,,,
2005-03-09,-0.012184958072646333,-0.014213318429019918,,,,-0.02027712485546395,-0.025247422411388814,,,,-0.020247726268629824,-0.0248965842133196,,,,-0.012874922567995621,-0.03226669269153148,,,
2005-03-10,-0.012184958072646364,-0.014213318429020063,,,,-0.020277124855463926,-0.02305858954381829,,,,-0.020247726268629918,-0.022696741621623173,,,,-0.014188465069145333,-0.032266692691531325,,,
2005-03-11,-0.015176806726985745,-0.015176806726985658,,,,-0.02322979660626333,-0.025302829285630952,,,,-0.023214335465450424,-0.024958928721791132,,,,-0.023383907966129474,-0.0322666926915313,,,
2005-03-14,-0.012105271441101738,-0.015176806726985709,,,,-0.016711179656377757,-0.02530282928563078,,,,-0.01671623829673462,-0.024958928721791295,,,,-0.013534407882322713,-0.03226669269153144,,,
2005-03-15,-0.005196404123577014,-0.016467972595013453,,,,-0.008350001311876718,-0.026476151735917965,,,,-0.008357658147455494,-0.02613709791179123,,,,-0.014106413332044404,-0.03226669269153131,,,
2005-03-16,-0.009989283105903645,-0.021206546120615843,,,,-0.009489809930639198,-0.026834448885355307,,,,-0.009540203253487891,-0.026651828961700895,,,,-0.0239872759201524,-0.039349759537513115,,,
2005-03-17,-0.00966820378114635,-0.021206546120616086,,,,-0.00841179846413471,-0.025526968732991755,,,,-0.00845937467588958,-0.025558033545826055,,,,-0.019282596624536387,-0.03783539836280087,,,
2005-03-18,-0.010589494035886696,-0.02211710243508142,,,,-0.010406553985679303,-0.027487294054234238,,,,-0.010455351195492244,-0.02751959037474805,,,,-0.022228315488601113,-0.04072539134918291,,,
2005-03-21,-0.00795799159481772,-0.02429491220233618,,,,-0.007890296645558736,-0.03065797964881653,,,,-0.007877770951554609,-0.030698566306933257,,,,-0.014802001174157454,-0.04120502865350817,,,
2005-03-22,-0.012515599317814178,-0.03236432806492479,,,,-0.0171277563311614,-0.0396834511307291,,,,-0.01712652093296191,-0.03973457654273371,,,,-0.01867178427061685,-0.05347965825055572,,,
2005-03-23,-0.012515599317814133,-0.03236432806492487,,,,-0.017127756331161488,-0.03968345113072954,,,,-0.017126520932961832,-0.039734576542733595,,,,-0.01916244837848158,-0.05395291842143046,,,
2005-03-24,-0.010478990536965792,-0.03236432806492473,,,,-0.01254087170473961,-0.03968345113072943,,,,-0.012560650113962476,-0.03973457654273357,,,,-0.013789093292953613,-0.053952918421430796,,,
2005-03-28,-0.00827034312263615,-0.032364328064924494,,,,-0.009310925651034124,-0.03968345113072935,,,,-0.009322188043581843,-0.03973457654273355,,,,-0.013295741163535236,-0.053952918421430456,,,
2005-03-29,-0.004227753890051648,-0.03446621866925514,,,,-0.002678039339159788,-0.039683451130729366,,,,-0.0027014625828256735,-0.0397345765427336,,,,-0.0004999999999998909,-0.0539529184214306,,,
2005-03-30,-0.0042277538900516885,-0.0344662186692555,,,,-0.0026780393391598037,-0.039683451130729436,,,,-0.0027014625828257295,-0.03973457654273381,,,,0.0,-0.053952918421430386,,,
2005-03-31,-0.004227753890051674,-0.03446621866925529,,,,-0.002678039339159836,-0.0396834511307296,,,,-0.002701462582825672,-0.03973457654273357,,,,-0.004855322265455708,-0.05854628188078867,,,
2005-04-01,-0.004227753890051655,-0.034466218669255366,,,,-0.0004906694211210105,-0.03968345113072937,,,,-0.0005707348050743394,-0.03973457654273359,,,,-0.01492371693606831,-0.06807145727510246,,,
2005-04-04,-0.0012558997487145483,-0.03446621866925538,-0.03446621866925557,,,-0.0004906694211210457,-0.039683451130729304,-0.044080182263836934,,,-0.000570734805074266,-0.03973457654273369,-0.04360729478467977,,,-0.01541625507760025,-0.06853742154646515,-0.10249447919344093,,
2005-04-05,-0.0012558997487146387,-0.03446621866925544,-0.03446621866925516,,,-0.000490669421121005,-0.039683451130729366,-0.044080182263837635,,,-0.0005707348050741941,-0.03973457654273364,-0.04360729478467998,,,-0.01541625507760025,-0.06853742154646497,-0.08583101986259559,,
2005-04-06,-0.00033783043442532276,-0.03145484454715115,-0.03446621866925512,,,-0.0004906694211210325,-0.0332746400194106,-0.0440801822638376,,,-0.0005707348050743707,-0.03334638079422547,-0.04360729478467973,,,-0.0127311693907624,-0.061158093734755115,-0.08637442487346825,,
2005-04-07,0.0,-0.023400915431018156,-0.034466218669255345,,,-0.001447450604859925,-0.023879269280032374,-0.044080182263836976,,,-0.0013305906983770307,-0.02394977958400966,-0.04360729478467935,,,-0.0031390446651101732,-0.0588799751482507,-0.0868312376610312,,
2005-04-08,-0.00623937656819301,-0.023400915431018313,-0.03446621866925521,,,-0.00481959580778376,-0.02387926928003253,-0.04408018226383761,,,-0.004790413493985231,-0.02394977958400985,-0.04360729478467947,,,-0.011238842390301932,-0.06575041505633154,-0.09470388541915772,,
2005-04-11,-0.0062393765681929255,-0.023084185753974272,-0.03446621866925525,,,-0.004819595807783552,-0.022816918431996208,-0.04408018226383737,,,-0.004790413493985116,-0.022884675301269523,-0.04360729478467948,,,-0.015556516705522383,-0.06534634775220295,-0.09865708862855965,,
2005-04-12,-0.006239376568192981,-0.023084185753974282,-0.03446621866925537,,,-0.0048195958077837464,-0.022816918431996153,-0.0440801822638372,,,-0.004790413493985056,-0.02288467530126958,-0.04360729478467942,,,-0.01393714838708803,-0.06581367457832675,-0.09910776008424536,,
