Date,MA200_LowCost,MA200_HighCost,Tech_Drift,Benchmark
2005-01-31,0.006128476241884728,0.004235944991679119,-0.06359954609066787,-0.01148086275356841
2005-02-28,0.0025771588397114353,0.0029494696744416515,-0.0048127516244361734,0.01107604456895972
2005-03-31,-0.01134287651100041,-0.01143889157664435,-0.03729900614628823,-0.01480517297488082
2005-04-30,-0.015320871777193656,-0.023576651266690396,-0.04338921053338729,-0.004223984562657379
2005-05-31,0.03128608337152117,0.029818181599196913,0.037090102492352006,0.022682470026847534
2005-06-30,0.011577147696209211,0.01155733669228809,-0.03179920221468735,0.004478343027565446
2005-07-31,0.0018829105652184985,0.0016059997028532447,0.04740251490186953,0.018611478378354418
2005-08-31,0.012112373671981702,0.012493000497622697,-0.015159300551217725,-0.0008465319459237675
2005-09-30,0.0073831019989207824,0.005898900152517372,0.012314251154726064,0.0011317875553680246
2005-10-31,-0.048651183619157545,-0.06179226161943263,-0.023486575867509796,-0.017933062973518932
2005-11-30,0.04411767603943573,0.04000517827939132,0.06097225418861907,0.027738667947392548
2005-12-31,0.024595116235599068,0.021052132022818748,-0.017762504951279623,0.0034380099495288086
2006-01-31,0.03837466735939543,0.036652914042458073,0.03934641260100369,0.014236170688687766
2006-02-28,-0.00029582111372716824,-0.005257926406649571,-0.021428230773062218,0.004187454925304701
2006-03-31,0.018133013133981857,0.0171807355651592,0.020910169404517287,0.0064143905611449
2006-04-30,0.06690429513913587,0.06585901343896694,-0.0019077122580508643,0.007023909052848332
2006-05-31,-0.02117250426721673,-0.020796720475866448,-0.04014603909383552,-0.0187789148425912
2006-06-30,-0.04881270688505279,-0.053247969375295745,0.0,0.0011496772568169167
2006-07-31,-0.017535376576495287,-0.025051795615117056,0.0,0.008374905463550242
2006-08-31,0.0072158427556530125,0.0039419916746370465,0.0,0.019503162754619607
2006-09-30,0.0018096966468765796,-0.0005133030145371142,-0.020764273476871375,0.02027112813582721
2006-10-31,0.018044115029425267,0.016908723830654004,0.04747788911920714,0.021630163593906904
2006-11-30,0.03694235667633183,0.03595455751499688,0.034288995157004454,0.016252170491467988
2006-12-31,-0.01606859776892089,-0.01791942404047797,-0.018787663770159835,0.005632081138276845
2007-01-31,-0.00021769438638519212,-0.0023465562320456046,0.02108387193081218,0.008778569383540269
2007-02-28,0.013336616392482625,0.013407538799384833,-0.01679161074916813,-0.005154249416044143
2007-03-31,-0.00583610801226897,-0.005406355557919684,0.005248601472074732,0.006369802418509929
2007-04-30,0.024465951966845312,0.0246235145937741,0.055823844738494,0.02884194680852792
2007-05-31,-0.0028162055599111335,-0.005818749966052139,0.03154917575520666,0.016552858094137424
2007-06-30,-0.016998339041418453,-0.01693319074246935,0.00479221363493143,-0.010139904405296551
2007-07-31,0.0002770469627735306,-0.0007554167565404502,-0.001470294466609512,-0.014350871178157587
2007-08-31,-0.04102102106526151,-0.05773624346942219,0.02819226078314374,0.013474437082053647
2007-09-30,0.048680780660522505,0.04817852442154913,0.05252213907451475,0.0258681297972434
2007-10-31,0.03467650981399251,0.03380857299644702,0.0704139342941914,0.012510472243900894
2007-11-30,-0.011183891839447124,-0.016088447767071634,-0.06759895429486262,-0.01553355083228558
2007-12-31,0.00859671074854007,0.0028605893790640824,-0.000713960447005002,-0.006410430356869501
2008-01-31,0.06441252643629158,0.06436880757864061,-0.05552894015998178,-0.02725376822786918
2008-02-29,0.024861519667468857,0.023928233966991286,0.0,-0.015761008914308983
2008-03-31,-0.021844946308751445,-0.01925500157424076,0.0,-0.003941971852552517
2008-04-30,-0.03340180678529625,-0.03298968202728858,0.0,0.030146711591163333
2008-05-31,-0.04051785933120655,-0.046142858333890424,0.017731840933042697,0.004207347583498056
2008-06-30,0.053815520117835636,0.04589259823471403,-0.08732859268694693,-0.05120501424193713
2008-07-31,-0.04028065050389029,-0.04785005517448704,0.0,-0.0031633418911898303
2008-08-31,-0.005274157287345482,-0.009879983973344886,-0.053129873784048764,0.012668643495253429
2008-09-30,-0.014316276095177272,-0.018840661081983456,-0.0004999999999999449,-0.062115712414955615
2008-10-31,-0.04690060350537528,-0.050899314370508986,0.0,-0.10380574187256231
2008-11-30,0.14341181865980723,0.14341181865980723,0.0,-0.026394037919609925
2008-12-31,0.1262879200475866,0.1213192979887534,0.0,0.03500116082012861
2009-01-31,-0.04742352238659886,-0.055840790452612366,0.0,-0.05637433651247792
2009-02-28,0.0008599272928779822,-9.951444371270046e-05,0.0,-0.06873416982996738
2009-03-31,0.004209851353365934,0.007292913907718246,0.0,0.056202218169058904
2009-04-30,-0.04740634010623512,-0.04986700156745738,0.0,0.061752513673023035
2009-05-31,0.10232612179073941,0.10232612179073941,-0.006173885778208765,0.03830095304087644
2009-06-30,-0.026901189990371166,-0.02845636485632108,0.029529280632122346,0.0018570841734515398
2009-07-31,0.04987483292803274,0.049065951820864706,0.08438652554310933,0.049966465510093316
2009-08-31,0.019659160820155286,0.01861246824506746,0.014702546406166306,0.02737799659701312
2009-09-30,0.046120798568800137,0.047061713887420975,0.05647978605238313,0.026218681494505125
2009-10-31,-0.023492177886926036,-0.02724285700458251,-0.03053238357276067,-0.010163890170964529
2009-11-30,0.09876041704227356,0.09707341420918802,0.06347647445330917,0.04206380148108946
2009-12-31,-0.03764699760295642,-0.039920638943947595,0.05202731214633349,0.00392213242473316
2010-01-31,-0.025148718034929796,-0.02447231159665053,-0.06469902718373843,-0.016156050688496126
2010-02-28,0.0319358843468851,0.031981416630813,0.04603864382407097,0.019726800277141132
