DATE,Rf_Monthly_Ret
1987-01-31,0.004416142510483834
1987-02-28,0.004543078952765622
1987-03-31,0.004543078952765622
1987-04-30,0.004582710433194803
1987-05-31,0.004598558211035053
1987-06-30,0.004606481068812007
1987-07-31,0.004622324722702187
1987-08-31,0.004899144709827663
1987-09-30,0.005183001430342005
1987-10-31,0.00497019161052159
1987-11-30,0.004622324722702187
1987-12-31,0.004685671867687535
1988-01-31,0.00471732897177124
1988-02-29,0.004598558211035053
1988-03-31,0.0046302455190647684
1988-04-30,0.00479642376289191
1988-05-31,0.005072717471196864
1988-06-30,0.005230225269475142
1988-07-31,0.005442431089579092
1988-08-31,0.005701126498406817
1988-09-30,0.005841925158329042
1988-10-31,0.005927862176151821
1988-11-30,0.006247463339722259
1988-12-31,0.0064883738308543215
1989-01-31,0.006643463998133647
1989-02-28,0.006844689078481014
1989-03-31,0.007068611784338152
1989-04-30,0.006937413192385611
1989-05-31,0.006767347165307802
1989-06-30,0.006550441444288069
1989-07-31,0.0063407942831432695
1989-08-31,0.006356340187460896
1989-09-30,0.006239681461285729
1989-10-31,0.006154037076622876
1989-11-30,0.006192976283291518
1989-12-31,0.006146247245690573
1990-01-31,0.006154037076622876
1990-02-28,0.006231898920789458
1990-03-31,0.006356340187460896
1990-04-30,0.0062552445562169545
1990-05-31,0.006231898920789458
1990-06-30,0.006224115718115986
1990-07-31,0.006138456751282995
1990-08-31,0.006005916720039028
1990-09-30,0.005935670629159118
1990-10-31,0.005787195884414231
1990-11-30,0.005701126498406817
1990-12-31,0.005450281110322086
1991-01-31,0.005041183304461905
1991-02-28,0.0048201388511142085
1991-03-31,0.00479642376289191
1991-04-30,0.004590634665871063
1991-05-31,0.004439956538087042
1991-06-30,0.004527221543640936
1991-07-31,0.0045351505923962865
1991-08-31,0.0043367175322408524
1991-09-30,0.004249270180617826
1991-10-31,0.004066154593528548
1991-11-30,0.00372281948566644
1991-12-31,0.003329995796502061
1992-01-31,0.0031128168457330574
1992-02-29,0.0031450241575170512
1992-03-31,0.0033058903246372395
1992-04-30,0.003072541703255549
1992-05-31,0.0029758087216387175
1992-06-30,0.003000001589411161
1992-07-31,0.002636432758290619
1992-08-31,0.0025716462189622202
1992-09-30,0.0023932454057613572
1992-10-31,0.0023526510136486767
1992-11-30,0.0025716462189622202
1992-12-31,0.0026445278387947635
1993-01-31,0.0024662697723036864
1993-02-28,0.00240947810048997
1993-03-31,0.0024257079041964946
1993-04-30,0.0023607713389290907
1993-05-31,0.002433821722253038
1993-06-30,0.0025230260752062694
1993-07-31,0.002498706273323714
1993-08-31,0.0024824894659052354
1993-09-30,0.0024257079041964946
1993-10-31,0.0024824894659052354
1993-11-30,0.0025473393892132545
1993-12-31,0.0025149201956327083
1994-01-31,0.002450047191444371
1994-02-28,0.002668808767629649
1994-03-31,0.002870898719076642
1994-04-30,0.0030161266025487965
1994-05-31,0.0033862171355991677
1994-06-30,0.0033862171355991677
1994-07-31,0.003538643475265779
1994-08-31,0.0036588004233741866
1994-09-30,0.0037708043235686883
1994-10-31,0.004034270873583212
1994-11-30,0.004304928185396628
1994-12-31,0.0045510066248739545
1995-01-31,0.004638165628538804
1995-02-28,0.004685671867687535
1995-03-31,0.004654003787317951
1995-04-30,0.004590634665871063
1995-05-31,0.004606481068812007
1995-06-30,0.004447893167344841
1995-07-31,0.004408203120921161
1995-08-31,0.0043923222705009035
1995-09-30,0.004296979118938893
1995-10-31,0.004296979118938893
1995-11-30,0.004360552280962882
1995-12-31,0.004185619455328249
1996-01-31,0.0040741237836483535
1996-02-29,0.0039385528336748354
1996-03-31,0.004042242847743793
1996-04-30,0.004034270873583212
1996-05-31,0.004090060076936908
1996-06-30,0.004145815203788983
1996-07-31,0.004193578223375516
1996-08-31,0.004113959301397019
1996-09-30,0.004145815203788983
1996-10-31,0.004066154593528548
1996-11-30,0.004098027180359898
1996-12-31,0.004002376012389508
1997-01-31,0.004098027180359898
1997-02-28,0.004082092278075322
1997-03-31,0.004185619455328249
1997-04-30,0.004201536297631092
1997-05-31,0.004113959301397019
1997-06-30,0.004018324836151166
1997-07-31,0.004113959301397019
1997-08-31,0.004185619455328249
1997-09-30,0.004034270873583212
1997-10-31,0.0040502141257032775
1997-11-30,0.004185619455328249
1997-12-31,0.004201536297631092
1998-01-31,0.004105993588470858
1998-02-28,0.004145815203788983
1998-03-31,0.004098027180359898
1998-04-30,0.004034270873583212
1998-05-31,0.0040741237836483535
1998-06-30,0.004058184707589341
1998-07-31,0.004042242847743793
1998-08-31,0.003994400555316968
1998-09-30,0.0037628086026935126
1998-10-31,0.0032415779026344627
1998-11-30,0.003602746873047291
1998-12-31,0.003586725245666944
1999-01-31,0.0035466588636137164
1999-02-28,0.0036267740400885984
1999-03-31,0.0036267740400885984
1999-04-30,0.0035065748777713956
1999-05-31,0.0036748094004368514
1999-06-30,0.0037308187111868563
1999-07-31,0.0037148195588312394
1999-08-31,0.003850723023570035
1999-09-30,0.0038187639418887365
1999-10-31,0.003962491756110298
1999-11-30,0.004129888642202095
1999-12-31,0.0042333616592649115
2000-01-31,0.0043287712331259165
2000-02-29,0.004511361380472367
2000-03-31,0.004622324722702187
2000-04-30,0.004598558211035053
2000-05-31,0.004701501791267937
2000-06-30,0.004622324722702187
2000-07-31,0.0048359454901756305
2000-08-31,0.004938622031196882
2000-09-30,0.004867550565343048
2000-10-31,0.004954408184481007
2000-11-30,0.005001750284811202
2000-12-31,0.004685671867687535
2001-01-31,0.004193578223375516
2001-02-28,0.0039784475501516425
