Date,US_Stock_Index_Proxy,US_Stock_ETF_Actual
1988-01-31,257.4700012207031,
1988-02-29,269.4800109863281,
1988-03-31,261.1499938964844,
1988-04-30,264.0400085449219,
1988-05-31,266.32000732421875,
1988-06-30,278.5400085449219,
1988-07-31,277.489990234375,
1988-08-31,268.07000732421875,
1988-09-30,279.489990234375,
1988-10-31,287.2699890136719,
1988-11-30,283.17999267578125,
1988-12-31,288.1199951171875,
1989-01-31,309.2099914550781,
1989-02-28,301.510009765625,
1989-03-31,308.5400085449219,
1989-04-30,324.55999755859375,
1989-05-31,337.69000244140625,
1989-06-30,335.7799987792969,
1989-07-31,366.1000061035156,
1989-08-31,373.25,
1989-09-30,371.739990234375,
1989-10-31,363.1099853515625,
1989-11-30,370.510009765625,
1989-12-31,379.4100036621094,
1990-01-31,353.94000244140625,
1990-02-28,358.5,
1990-03-31,368.0,
1990-04-30,358.82000732421875,
1990-05-31,393.79998779296875,
1990-06-30,391.1400146484375,
1990-07-31,389.8900146484375,
1990-08-31,354.6499938964844,
1990-09-30,337.3900146484375,
1990-10-31,335.95001220703125,
1990-11-30,357.6700134277344,
1990-12-31,367.6300048828125,
1991-01-31,383.6400146484375,
1991-02-28,411.0799865722656,
1991-03-31,421.0299987792969,
1991-04-30,422.0299987792969,
1991-05-31,440.239990234375,
1991-06-30,420.07000732421875,
1991-07-31,439.6499938964844,
1991-08-31,450.05999755859375,
1991-09-30,442.5299987792969,
1991-10-31,448.4800109863281,
1991-11-30,430.4100036621094,
1991-12-31,479.6300048828125,
1992-01-31,470.70001220703125,
1992-02-29,476.7900085449219,
1992-03-31,467.5199890136719,
1992-04-30,481.25,
1992-05-31,483.6000061035156,
1992-06-30,476.4100036621094,
1992-07-31,495.8699951171875,
1992-08-31,485.7200012207031,
1992-09-30,491.42999267578125,
1992-10-31,493.1300048828125,
1992-11-30,509.9200134277344,
1992-12-31,516.1799926757812,
1993-01-31,520.489990234375,24.31304931640625
1993-02-28,527.5900268554688,24.57242774963379
1993-03-31,538.719970703125,25.12282943725586
1993-04-30,525.7000122070312,24.479978561401367
1993-05-31,539.760009765625,25.14019012451172
1993-06-30,541.3400268554688,25.23087501525879
1993-07-31,539.1599731445312,25.108402252197266
1993-08-31,559.6199951171875,26.07076072692871
1993-09-30,555.3300170898438,25.881071090698242
1993-10-31,566.8200073242188,26.391639709472656
1993-11-30,561.4099731445312,26.109939575195312
1993-12-31,568.2000122070312,26.430519104003906
1994-01-31,587.52001953125,27.35228157043457
1994-02-28,571.5700073242188,26.554580688476562
1994-03-31,546.6500244140625,25.441913604736328
1994-04-30,553.6599731445312,25.727155685424805
1994-05-31,562.75,26.137243270874023
1994-06-30,548.9600219726562,25.5383243560791
1994-07-31,566.97998046875,26.363876342773438
1994-08-31,590.22998046875,27.3689022064209
1994-09-30,575.7999877929688,26.677688598632812
1994-10-31,588.72998046875,27.43604278564453
1994-11-30,567.2899780273438,26.34366226196289
1994-12-31,575.7100219726562,26.535511016845703
1995-01-31,590.6400146484375,27.42731285095215
1995-02-28,613.6500244140625,28.546607971191406
1995-03-31,631.760009765625,29.34157371520996
1995-04-30,650.3599853515625,30.210739135742188
1995-05-31,676.3599853515625,31.409299850463867
1995-06-30,692.0700073242188,32.04468536376953
1995-07-31,715.02001953125,33.075416564941406
1995-08-31,716.8200073242188,33.222679138183594
1995-09-30,747.0700073242188,34.630523681640625
1995-10-31,744.4000244140625,34.52873992919922
1995-11-30,777.0700073242188,36.0645866394043
1995-12-31,792.0399780273438,36.63199996948242
1996-01-31,819.0,37.9352912902832
1996-02-29,826.5900268554688,38.05632400512695
1996-03-31,834.5499877929688,38.7115592956543
1996-04-30,846.8499755859375,39.13235092163086
1996-05-31,868.6900024414062,40.020660400390625
1996-06-30,872.010009765625,40.373714447021484
1996-07-31,833.47998046875,38.55948257446289
1996-08-31,851.0599975585938,39.30209732055664
1996-09-30,898.969970703125,41.49801254272461
1996-10-31,923.760009765625,42.839691162109375
1996-11-30,993.5800170898438,45.96717071533203
1996-12-31,973.9000244140625,44.87325668334961
1997-01-31,1034.739990234375,47.64579772949219
1997-02-28,1042.8499755859375,48.101558685302734
1997-03-31,1000.0,45.97917556762695
1997-04-30,1059.699951171875,48.857666015625
1997-05-31,1124.219970703125,51.945804595947266
1997-06-30,1174.5899658203125,54.080894470214844
1997-07-31,1268.050048828125,58.36756896972656
1997-08-31,1197.010009765625,55.343929290771484
1997-09-30,1262.56005859375,58.00544738769531
1997-10-31,1220.4000244140625,56.584110260009766
1997-11-30,1276.8900146484375,58.77369689941406
1997-12-31,1298.8199462890625,59.89464569091797
1998-01-31,1313.18994140625,60.66596984863281
1998-02-28,1407.9000244140625,64.86978149414062
1998-03-31,1480.0,68.03436279296875
1998-04-30,1494.8900146484375,68.90464782714844
1998-05-31,1469.18994140625,67.47359466552734
1998-06-30,1528.8699951171875,70.3460922241211
1998-07-31,1512.5899658203125,69.3955078125
1998-08-31,1293.9000244140625,59.59827423095703
1998-09-30,1376.7900390625,63.39104080200195
1998-10-31,1488.780029296875,68.5308837890625
1998-11-30,1579.02001953125,72.34680938720703
1998-12-31,1670.010009765625,77.07986450195312
1999-01-31,1739.8399658203125,79.79509735107422
1999-02-28,1685.77001953125,77.23617553710938
1999-03-31,1753.2099609375,80.4389877319336
1999-04-30,1821.1099853515625,83.49363708496094
1999-05-31,1778.0999755859375,81.58445739746094
1999-06-30,1876.780029296875,86.10246276855469
1999-07-31,1818.1800537109375,83.43141174316406
1999-08-31,1809.18994140625,82.99935913085938
