,Naive_Gross,Naive_Net,ERC_Gross,ERC_Net,Trend_Gross,Trend_Net,Risk_Free,Bench_6040_XR
1991-01-31,,,,,,,,
1991-02-28,0.0305805766097765,0.030574552186709424,0.034966564675437,0.034966564675437,0.0288050774659895,0.028799354878052207,0.0048201388511142,0.0410957345025823
1991-03-31,0.0197737122252853,0.01976832010701958,0.0266904197578647,0.026683020215227338,0.0130298846696208,0.013026285076415269,0.0047964237628919,0.0116140979170077
1991-04-30,0.0139529911622117,0.013946109545209499,0.0158305430167105,0.01580678315806759,0.0103515307926224,0.010345971424174875,0.004590634665871,0.0003894321985598
1991-05-31,0.0138985727635825,0.013889495914363977,0.0143074279155452,0.0143074279155452,0.0149921436071537,0.014984522041971798,0.004439956538087,0.02310501016213
1991-06-30,-0.0326458569030594,-0.032657682230797784,-0.0393415121002979,-0.03938073354111805,-0.0268167939232386,-0.026827333507446174,0.0045272215436409,-0.0341159654852016
1991-07-31,0.0331866344371827,0.03317985280159635,0.0414190599902662,0.0414190599902662,0.0238389570222415,0.023739440484853273,0.0045351505923962,0.0273310808528716
1991-08-31,0.0458565650067772,0.04584412970045653,0.0433108594111061,0.0433108594111061,0.0458565650067772,0.04584412970045653,0.0043367175322408,0.0230289249372765
1991-09-30,0.0280230019773239,0.02802135267393745,0.0239865972863727,0.0239865972863727,0.0280230019773239,0.02802135267393745,0.0042492701806178,-0.0018951192755811
1991-10-31,0.0146131789872418,0.014611759025712708,0.0182517767976661,0.0182517767976661,0.0146131789872418,0.014611759025712708,0.0040661545935285,0.0066993383999722
1991-11-30,-0.0108135671592978,-0.01082913967072081,-0.02136716731834,-0.021379550417229158,-0.0108135671592978,-0.010960723518409857,0.0037228194856664,-0.022642381707267
1991-12-31,0.0812228683018452,0.0812065346004841,0.0644115532279215,0.06438478150374874,0.0497223978514326,0.04948924573627261,0.003329995796502,0.0871635935812421
1992-01-31,-0.0435919399462487,-0.04361383639671857,-0.0345175432679245,-0.03454159848662396,-0.0487939583439263,-0.04881255928841759,0.003112816845733,-0.0285085905767668
1992-02-29,0.0068143955629239,0.006808102187270954,0.0034743386886989,0.0034676234777369303,0.0099573154546674,0.009952982064953217,0.003145024157517,0.0083839963542792
1992-03-31,-0.0195655465307928,-0.01957079930890341,-0.0172433793423001,-0.017248201137840088,-0.0211569920618926,-0.021160669520988856,0.0033058903246372,-0.0198138911287095
1992-04-30,0.0156287288123657,0.015627172427630513,0.0214255041585118,0.0214255041585118,0.0098821836903083,0.009781131842711458,0.0030725417032555,0.015364158061032
1992-05-31,0.0386393069673311,0.038633880784966886,0.0391749822435345,0.03916840515987773,0.0386393069673311,0.038633880784966886,0.0029758087216387,0.0105080943232804
1992-06-30,0.0163406410403972,0.01632999243369346,0.0108467235988338,0.0108467235988338,0.0163406410403972,0.01632999243369346,0.0030000015894111,-0.0038779727846267
1992-07-31,0.0542004566826635,0.05418221825695536,0.0461404244515615,0.0461404244515615,0.0542004566826635,0.05418221825695536,0.0026364327582906,0.0366037727770166
1992-08-31,0.0061858034012412,0.006167548426185313,0.0034733562653371,0.0034461169980322683,0.0061858034012412,0.006167548426185313,0.0025716462189622,-0.0094072934468467
1992-09-30,0.0288753069777447,0.028871343586477236,0.0281103564329465,0.0281103564329465,0.0288753069777447,0.028871343586477236,0.0023932454057613,0.0144587805303873
1992-10-31,-0.0395397830337202,-0.03955277747628244,-0.0401038041613803,-0.040128407912287486,-0.0395397830337202,-0.039647170936786456,0.0023526510136486,-0.0101027821485228
1992-11-30,-0.0006432100560473,-0.0006446636563892082,-0.0015068725378352,-0.0015068725378352002,0.0025784472854328,0.0025770973062993535,0.0025716462189622,0.0161089401976155
1992-12-31,0.0289428840349045,0.028937060399970908,0.025642416311857,0.025634104026384975,0.0291083772777117,0.029105243554077523,0.0026445278387947,0.0143847580282024
1993-01-31,0.0379898596475281,0.03798123558097071,0.0353929989192677,0.03538123371456689,0.0360534284502857,0.03604869818886563,0.0024662697723036,0.0140726741729787
1993-02-28,0.0422499146652067,0.04224544663529864,0.0396913264172538,0.039657790168440815,0.0404561293510241,0.040354561766267255,0.0024094781004899,0.0188107717179212
1993-03-31,0.015166566093575,0.015163291401445936,0.0187024542316038,0.0187024542316038,0.015166566093575,0.015163291401445936,0.0024257079041964,0.0124714269264517
1993-04-30,-0.0049905091288264,-0.005010679568510104,-0.0100507737404204,-0.010056732930058718,-0.0049905091288264,-0.005010679568510104,0.002360771338929,-0.0151225998880981
1993-05-31,-0.003831312867101,-0.0038434881372326466,-0.0072438649586128,-0.007258315187108069,-0.003831312867101,-0.003934615260682523,0.002433821722253,0.0126676470994176
1993-06-30,0.0317344289618503,0.03172750724089588,0.0197704516178872,0.0197704516178872,0.0383521427901127,0.038346214481710224,0.0025230260752062,0.0122935539721989
1993-07-31,0.0004239956722703,0.00042015117402759334,-0.0028452961823541,-0.0028533575627431172,0.0026668545211447,0.0026649322720233466,0.0024987062733237,-0.0036258896699657
1993-08-31,0.0539213219525957,0.0538995824479139,0.0512034555882815,0.051179229025542505,0.0528629169274535,0.05284514314726556,0.0024824894659052,0.0340262550896914
1993-09-30,0.0030971126504197,0.0030064629899181896,0.0016584803992037,0.0015501151903738607,0.0031534643481075,0.003108139517856745,0.0024257079041964,-0.0034628728656309
1993-10-31,-0.0031531007239518,-0.0031618400333467233,-0.0088334390605919,-0.0088334390605919,0.0076413707110955,0.007636958889726264,0.0024824894659052,0.0110030795997766
