,Risk_Free,Naive_XR,ERC_XR,Bench_6040_XR
1991-02-28,0.0048201388511142,0.030580576609776595,0.034966564675437004,0.041095734502582394
1991-03-31,0.0047964237628919,0.01977371222528533,0.026690419757864757,0.01161409791700772
1991-04-30,0.004590634665871,0.013952991162211782,0.01583054301671059,0.00038943219855985985
1991-05-31,0.004439956538087,0.013898572763582537,0.014307427915545217,0.023105010162130016
1991-06-30,0.0045272215436409,-0.03264585690305944,-0.03934151210029798,-0.0341159654852016
1991-07-31,0.0045351505923962,0.03318663443718276,0.04141905999026626,0.02733108085287164
1991-08-31,0.0043367175322408,0.04585656500677724,0.04331085941110611,0.0230289249372765
1991-09-30,0.0042492701806178,0.028023001977323908,0.02398659728637275,-0.0018951192755811402
1991-10-31,0.0040661545935285,0.014613178987241838,0.018251776797666184,0.006699338399972239
1991-11-30,0.0037228194856664,-0.010813567159297802,-0.021367167318340066,-0.02264238170726702
1991-12-31,0.003329995796502,0.08122286830184523,0.06441155322792158,0.08716359358124216
1992-01-31,0.003112816845733,-0.04359193994624877,-0.03451754326792454,-0.028508590576766864
1992-02-29,0.003145024157517,0.00681439556292398,0.0034743386886989594,0.008383996354279218
1992-03-31,0.0033058903246372,-0.019565546530792895,-0.017243379342300184,-0.01981389112870956
1992-04-30,0.0030725417032555,0.01562872881236576,0.02142550415851181,0.01536415806103204
1992-05-31,0.0029758087216387,0.03863930696733113,0.03917498224353457,0.01050809432328044
1992-06-30,0.0030000015894111,0.01634064104039723,0.010846723598833806,-0.0038779727846267598
1992-07-31,0.0026364327582906,0.0542004566826635,0.04614042445156158,0.036603772777016624
1992-08-31,0.0025716462189622,0.006185803401241274,0.00347335626533716,-0.00940729344684676
1992-09-30,0.0023932454057613,0.02887530697774474,0.028110356432946595,0.014458780530387379
1992-10-31,0.0023526510136486,-0.039539783033720216,-0.040103804161380305,-0.010102782148522801
1992-11-30,0.0025716462189622,-0.0006432100560473373,-0.001506872537835252,0.01610894019761554
1992-12-31,0.0026445278387947,0.028942884034904595,0.025642416311857007,0.014384758028202438
1993-01-31,0.0024662697723036,0.037989859647528164,0.03539299891926776,0.014072674172978722
1993-02-28,0.0024094781004899,0.04224991466520674,0.0396913264172538,0.018810771717921258
1993-03-31,0.0024257079041964,0.01516656609357502,0.018702454231603837,0.01247142692645176
1993-04-30,0.002360771338929,-0.004990509128826466,-0.010050773740420441,-0.015122599888098122
1993-05-31,0.002433821722253,-0.00383131286710105,-0.007243864958612821,0.012667647099417602
1993-06-30,0.0025230260752062,0.031734428961850324,0.01977045161788722,0.012293553972198982
1993-07-31,0.0024987062733237,0.00042399567227034593,-0.002845296182354113,-0.0036258896699657398
1993-08-31,0.0024824894659052,0.0539213219525957,0.051203455588281564,0.03402625508969146
1993-09-30,0.0024257079041964,0.0030971126504197722,0.0016584803992037136,-0.0034628728656309602
1993-10-31,0.0024824894659052,-0.0031531007239518675,-0.008833439060591933,0.011003079599776658
1993-11-30,0.0025473393892132,-0.04631614386254544,-0.05099253225296975,-0.018163638856300582
1993-12-31,0.0025149201956327,0.0005890939300024192,-0.002208817232438977,0.006910493222818439
1994-01-31,0.0024500471914443,0.04674173355927603,0.05396595470347176,0.024071620202462916
1994-02-28,0.0026688087676296,-0.04672058478210872,-0.04545462526794236,-0.03013018824620184
1994-03-31,0.0028708987190766,-0.05103305349694907,-0.0488884698916582,-0.044573360112282606
1994-04-30,0.0030161266025487,-0.005971202680578276,-0.001475646457291643,-0.0011319916907488211
1994-05-31,0.0033862171355991,0.0014280326037991872,0.0034121396988158518,0.0058381901366415
1994-06-30,0.0033862171355991,-0.008229723020693767,-0.005613987937158622,-0.020343508091921217
1994-07-31,0.0035386434752657,0.028648048554707255,0.028517751192596634,0.02490938167061754
1994-08-31,0.0036588004233741,-0.012634785286310847,-0.021314033901126343,0.021469870828171218
1994-09-30,0.0037708043235686,-0.03425218066476718,-0.03348190577216281,-0.027780293535725954
1994-10-31,0.0040342708735832,-0.002465306641588048,-0.0009784815299857476,0.0068798885789288205
1994-11-30,0.0043049281853966,-0.027020784697107284,-0.032012849972981004,-0.02625519293353214
1994-12-31,0.0045510066248739,0.016235675516578573,0.019443352670010995,0.008854696852239299
1995-01-31,0.0046381656285388,0.011379320423209932,0.008626241700914215,0.02011315258149788
1995-02-28,0.0046856718676875,0.027725827852255993,0.026395024841271042,0.03187367874037736
1995-03-31,0.0046540037873179,0.01268021640511025,0.013127457054006194,0.01600799790033392
1995-04-30,0.004590634665871,0.020770900525304524,0.021724260098816586,0.0191963844682136
1995-05-31,0.004606481068812,0.04410933939018875,0.03982297899925597,0.04426774760428708
1995-06-30,0.0044478931673448,0.00396968613756127,0.0021106005617239493,0.014271435530716858
1995-07-31,0.0044082031209211,0.003944483153233686,0.006531293272799809,0.010657949889416523
1995-08-31,0.0043923222705009,0.012126221465843069,0.012267637627509086,0.004261079577659239
1995-09-30,0.0042969791189388,0.0163693994162733,0.01594635824711757,0.0263670213471158
1995-10-31,0.0042969791189388,0.0074513459752188985,0.00690395207976197,-0.00018472891943305866
1995-11-30,0.0043605522809628,0.028904163717838494,0.029525375303931223,0.032098929562604225
1995-12-31,0.0041856194553282,0.03746002526239324,0.04285056267781535,0.014774405027449419
1996-01-31,0.0040741237836483,0.007432521691357351,0.007509980520745339,0.017702380491411138
1996-02-29,0.0039385528336748,-0.016609259791196717,-0.011547988033723675,-0.012003634930494982
1996-03-31,0.0040422428477437,0.0042103990640329145,0.009123653628525201,-0.002329848083131499
