,US_Stock_TR,US_Credit_TR,Commodities_TR,US_Bond_10Y_TR,Risk_Free,US_Stock_XR,US_Credit_XR,Commodities_XR,US_Bond_10Y_XR
2012-11-30,0.005799392317403118,-0.0008197222732000409,0.014769994211524917,0.0120347206637515,7.496908027748717e-05,0.005724423237125631,-0.000894691353477528,0.01469502513124743,0.011959751583474013
2012-12-31,0.009114227632879057,-0.0001959151687319638,-0.0064835909581856255,-0.0116431319147481,5.831462642125196e-05,0.009055913006457805,-0.00025422979515321575,-0.006541905584606877,-0.011701446541169351
2013-01-31,0.05179599979957472,-0.0071727167328010655,0.04357448823277066,-0.0184200829160371,5.831462642125196e-05,0.05173768517315347,-0.0072310313592223174,0.043516173606349406,-0.018478397542458353
2013-02-28,0.013575489324408219,0.007068285642621852,-0.04385256510530411,0.0149695946367926,8.329516327321151e-05,0.013492194161135007,0.006984990479348641,-0.04393586026857732,0.014886299473519389
2013-03-31,0.037503044991254564,0.0006614458716796001,0.007696705339295784,0.0049518668637452,7.496908027748717e-05,0.03742807591097708,0.000586476791402113,0.007621736259018297,0.004876897783467712
2013-04-30,0.01926675406801892,0.016998531091888314,-0.04730080525157865,0.0185103825528403,4.99862552685304e-05,0.01921676781275039,0.016948544836619783,-0.04735079150684718,0.01846039629757177
2013-05-31,0.023390087514379987,-0.02280879131460478,-0.014891174360915915,-0.0379820833384781,3.3327223783574667e-05,0.023356760290596412,-0.022842118538388356,-0.01492450158469949,-0.038015410562261674
2013-06-30,-0.01342813167604373,-0.02759883560997045,0.002335794496555632,-0.0282899100347835,4.165712110459907e-05,-0.01346978879714833,-0.02764049273107505,0.002294137375451033,-0.0283315671558881
2013-07-31,0.0508864835042393,0.007388985766702216,0.04913731764207663,-0.003420651955394,3.3327223783574667e-05,0.050853156280455725,0.007355658542918642,0.04910399041829305,-0.0034539791791775745
2013-08-31,-0.02896132169031196,-0.00768266768375736,0.03376022926227873,-0.0120713817672945,3.3327223783574667e-05,-0.028994648914095533,-0.007715994907540935,0.033726902038495155,-0.012104708991078074
2013-09-30,0.031358276472711166,0.009250029566304496,-0.03391642423938879,0.0159544611161565,1.6665139084048874e-05,0.03134161133362712,0.009233364427220447,-0.033933089378472836,0.015937795977072452
2013-10-31,0.045967295093059635,0.014965724473311903,-0.014428692217618999,0.0097874036721432,4.165712110459907e-05,0.045925637971955036,0.014924067352207304,-0.014470349338723598,0.009745746551038601
2013-11-30,0.030473912518165225,-0.002878089410445206,-0.007795643820090792,-0.0118553714996858,5.831462642125196e-05,0.030415597891743973,-0.002936404036866458,-0.007853958446512044,-0.011913686126107052
2013-12-31,0.025317627354634054,-0.001794693661505753,0.01927374531594106,-0.0210151345843674,5.831462642125196e-05,0.0252593127282128,-0.001853008287927005,0.019215430689519808,-0.02107344921078865
2014-01-31,-0.03457608862369477,0.017842495546625647,-0.016364477337332706,0.0358928654813105,3.3327223783574667e-05,-0.03460941584747834,0.017809168322842073,-0.01639780456111628,0.03585953825752693
2014-02-28,0.04574577355919507,0.010972864951545924,0.04508241781894884,0.0043568902569373,4.165712110459907e-05,0.04570411643809047,0.010931207830441325,0.04504076069784424,0.004315233135832701
