,Active_Assets,Risk_On_Weight_Sum,Target_Leverage,Actual_Gross_Exposure,Actual_Borrowing
1994-01-31,3.0,0.8430380287321712,1.7587836893372792,1.4827215344251952,0.48272153442519516
1994-02-28,3.0,0.8384872229041249,1.7075188729218893,1.4317327578126564,0.4317327578126564
1994-03-31,2.0,0.578652784139533,1.578782807215285,0.9135670669467523,0.0
1994-04-30,0.0,0.0,1.5528223023767798,0.0,0.0
1994-05-31,1.0,0.186553430774807,1.5486486742996188,0.28890572325545055,0.0
1994-06-30,1.0,0.18605931972194803,1.5322117663190806,0.28508227891129256,0.0
1994-07-31,1.0,0.18508456401679682,1.5361815217902335,0.2843234872112048,0.0
1994-08-31,2.0,0.3754035562511838,1.5392580886476712,0.5778429604667358,0.0
1994-09-30,1.0,0.18276947516223682,1.5462746815381025,0.28261181200137386,0.0
1994-10-31,1.0,0.18428874127313066,1.5339321840300946,0.28268643139325034,0.0
1994-11-30,1.0,0.1840192663761085,1.5400201264441382,0.28339337387269214,0.0
1994-12-31,1.0,0.1847810755224909,1.5304745577910803,0.2828027348484445,0.0
1995-01-31,2.0,0.5766234101545625,1.2875388284283742,0.7424250299547793,0.0
1995-02-28,3.0,0.8226218771123527,1.2733690574503747,1.0475012442966145,0.04750124429661451
1995-03-31,3.0,0.8193072894082847,1.2844076692818898,1.0523245660145577,0.052324566014557705
1995-04-30,3.0,0.8205568089552341,1.26941608777504,1.041628014221124,0.041628014221124054
1995-05-31,4.0,1.0000000000000002,1.266736692479478,1.2667366924794783,0.2667366924794783
1995-06-30,4.0,1.0,1.2795928872899447,1.2795928872899447,0.2795928872899447
1995-07-31,4.0,1.0,1.2783872851430131,1.2783872851430131,0.27838728514301314
1995-08-31,4.0,1.0,1.2650917737321137,1.2650917737321137,0.2650917737321137
1995-09-30,4.0,1.0000000000000002,1.249838273310662,1.2498382733106623,0.24983827331066233
1995-10-31,4.0,1.0,1.2676071775653657,1.2676071775653657,0.2676071775653657
1995-11-30,4.0,0.9999999999999999,1.2849775683529638,1.2849775683529636,0.2849775683529636
1995-12-31,4.0,1.0,1.2872100340472494,1.2872100340472494,0.28721003404724943
1996-01-31,4.0,1.0000000000000002,1.253187940783903,1.2531879407839033,0.2531879407839033
1996-02-29,4.0,1.0000000000000002,1.2684306216613588,1.268430621661359,0.268430621661359
1996-03-31,4.0,1.0,1.270816865755548,1.270816865755548,0.2708168657555481
1996-04-30,4.0,0.9999999999999999,1.2742497146113545,1.2742497146113543,0.2742497146113543
1996-05-31,2.0,0.3856067122353648,1.2583954240560355,0.4852457221622756,0.0
1996-06-30,2.0,0.38759283100599895,1.2568890014959917,0.4871611663501347,0.0
