,Risk_Free,Naive_XR,Trend_XR,Bench_6040_XR
1991-02-28,0.0048201388511142,0.030580576609776595,0.02880507746598951,0.041095734502582394
1991-03-31,0.0047964237628919,0.01977371222528533,0.013029884669620817,0.01161409791700772
1991-04-30,0.004590634665871,0.013952991162211782,0.010351530792622469,0.00038943219855985985
1991-05-31,0.004439956538087,0.013898572763582537,0.014992143607153707,0.023105010162130016
1991-06-30,0.0045272215436409,-0.03264585690305944,-0.02681679392323867,-0.0341159654852016
1991-07-31,0.0045351505923962,0.03318663443718276,0.02383895702224158,0.02733108085287164
1991-08-31,0.0043367175322408,0.04585656500677724,0.04585656500677724,0.0230289249372765
1991-09-30,0.0042492701806178,0.028023001977323908,0.028023001977323908,-0.0018951192755811402
1991-10-31,0.0040661545935285,0.014613178987241838,0.014613178987241838,0.006699338399972239
1991-11-30,0.0037228194856664,-0.010813567159297802,-0.010813567159297802,-0.02264238170726702
1991-12-31,0.003329995796502,0.08122286830184523,0.049722397851432655,0.08716359358124216
1992-01-31,0.003112816845733,-0.04359193994624877,-0.04879395834392638,-0.028508590576766864
1992-02-29,0.003145024157517,0.00681439556292398,0.009957315454667404,0.008383996354279218
1992-03-31,0.0033058903246372,-0.019565546530792895,-0.021156992061892664,-0.01981389112870956
1992-04-30,0.0030725417032555,0.01562872881236576,0.009882183690308391,0.01536415806103204
1992-05-31,0.0029758087216387,0.03863930696733113,0.03863930696733113,0.01050809432328044
1992-06-30,0.0030000015894111,0.01634064104039723,0.01634064104039723,-0.0038779727846267598
1992-07-31,0.0026364327582906,0.0542004566826635,0.0542004566826635,0.036603772777016624
1992-08-31,0.0025716462189622,0.006185803401241274,0.006185803401241274,-0.00940729344684676
1992-09-30,0.0023932454057613,0.02887530697774474,0.02887530697774474,0.014458780530387379
1992-10-31,0.0023526510136486,-0.039539783033720216,-0.039539783033720216,-0.010102782148522801
1992-11-30,0.0025716462189622,-0.0006432100560473371,0.002578447285432832,0.01610894019761554
1992-12-31,0.0026445278387947,0.028942884034904595,0.02910837727771176,0.014384758028202438
1993-01-31,0.0024662697723036,0.037989859647528164,0.036053428450285786,0.014072674172978722
1993-02-28,0.0024094781004899,0.04224991466520674,0.04045612935102412,0.018810771717921258
1993-03-31,0.0024257079041964,0.01516656609357502,0.01516656609357502,0.01247142692645176
1993-04-30,0.002360771338929,-0.004990509128826466,-0.004990509128826466,-0.015122599888098122
1993-05-31,0.002433821722253,-0.0038313128671010506,-0.0038313128671010506,0.012667647099417602
1993-06-30,0.0025230260752062,0.031734428961850324,0.038352142790112724,0.012293553972198982
1993-07-31,0.0024987062733237,0.0004239956722703461,0.002666854521144723,-0.0036258896699657398
1993-08-31,0.0024824894659052,0.0539213219525957,0.05286291692745356,0.03402625508969146
1993-09-30,0.0024257079041964,0.0030971126504197722,0.0031534643481075965,-0.0034628728656309602
1993-10-31,0.0024824894659052,-0.0031531007239518675,0.007641370711095574,0.011003079599776658
1993-11-30,0.0025473393892132,-0.04631614386254544,-0.030929174716854784,-0.018163638856300582
1993-12-31,0.0025149201956327,0.0005890939300024192,0.0066216318001796216,0.006910493222818439
1994-01-31,0.0024500471914443,0.04674173355927603,0.02505584045071683,0.024071620202462916
1994-02-28,0.0026688087676296,-0.04672058478210872,-0.03987335989575482,-0.03013018824620184
1994-03-31,0.0028708987190766,-0.05103305349694907,-0.030267610914041385,-0.044573360112282606
1994-04-30,0.0030161266025487,-0.005971202680578276,0.0,-0.0011319916907488211
1994-05-31,0.0033862171355991,0.0014280326037991872,0.0033202447827571993,0.0058381901366415
1994-06-30,0.0033862171355991,-0.008229723020693767,0.006047466544292679,-0.020343508091921217
1994-07-31,0.0035386434752657,0.028648048554707255,0.003888728743599078,0.02490938167061754
1994-08-31,0.0036588004233741,-0.012634785286310847,-0.010350186979649057,0.021469870828171218
1994-09-30,0.0037708043235686,-0.03425218066476718,-0.007974991417458336,-0.027780293535725954
1994-10-31,0.0040342708735832,-0.002465306641588048,0.005207488497802185,0.0068798885789288205
1994-11-30,0.0043049281853966,-0.027020784697107284,-0.011540431839349566,-0.02625519293353214
1994-12-31,0.0045510066248739,0.016235675516578573,0.002910483632360979,0.008854696852239299
1995-01-31,0.0046381656285388,0.011379320423209932,0.012592720510254908,0.02011315258149788
1995-02-28,0.0046856718676875,0.027725827852255993,0.027053920062217365,0.03187367874037736
1995-03-31,0.0046540037873179,0.01268021640511025,0.010696340109297738,0.01600799790033392
1995-04-30,0.004590634665871,0.020770900525304524,0.01493634785670804,0.0191963844682136
1995-05-31,0.004606481068812,0.04410933939018875,0.04410933939018875,0.04426774760428708
1995-06-30,0.0044478931673448,0.00396968613756127,0.00396968613756127,0.014271435530716858
1995-07-31,0.0044082031209211,0.003944483153233686,0.003944483153233686,0.010657949889416523
1995-08-31,0.0043923222705009,0.012126221465843069,0.012126221465843069,0.004261079577659239
1995-09-30,0.0042969791189388,0.0163693994162733,0.0163693994162733,0.0263670213471158
1995-10-31,0.0042969791189388,0.0074513459752188985,0.0074513459752188985,-0.00018472891943305866
1995-11-30,0.0043605522809628,0.028904163717838494,0.028904163717838494,0.032098929562604225
1995-12-31,0.0041856194553282,0.03746002526239324,0.03746002526239324,0.014774405027449419
1996-01-31,0.0040741237836483,0.007432521691357351,0.007432521691357351,0.017702380491411138
1996-02-29,0.0039385528336748,-0.016609259791196717,-0.016609259791196717,-0.012003634930494982
1996-03-31,0.0040422428477437,0.0042103990640329145,0.0042103990640329145,-0.002329848083131499
