Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,24.31303596496582,1003200.0
1993-02-01,43.96875,44.25,43.96875,44.25,24.485963821411133,480500.0
1993-02-02,44.21875,44.375,44.125,44.34375,24.5378360748291,201300.0
1993-02-03,44.40625,44.84375,44.375,44.8125,24.79722023010254,529400.0
1993-02-04,44.96875,45.09375,44.46875,45.0,24.90097999572754,531500.0
1993-02-05,44.96875,45.0625,44.71875,44.96875,24.883697509765625,492100.0
1993-02-08,44.96875,45.125,44.90625,44.96875,24.883697509765625,596100.0
1993-02-09,44.8125,44.8125,44.5625,44.65625,24.710765838623047,122100.0
1993-02-10,44.65625,44.75,44.53125,44.71875,24.745346069335938,379600.0
1993-02-11,44.78125,45.125,44.78125,44.9375,24.866395950317383,19500.0
1993-02-12,44.875,44.875,44.59375,44.59375,24.676170349121097,42500.0
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.05364227294922,374800.0
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.036365509033203,210900.0
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.01907539367676,378100.0
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.10552215576172,34900.0
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.191997528076172,513600.0
1993-02-23,43.84375,43.875,43.46875,43.6875,24.17469596862793,373700.0
1993-02-24,43.71875,44.25,43.71875,44.25,24.485963821411133,26300.0
1993-02-25,44.21875,44.375,44.125,44.34375,24.5378360748291,44500.0
1993-02-26,44.4375,44.4375,44.1875,44.40625,24.572418212890625,66200.0
1993-03-01,44.5625,44.5625,44.21875,44.28125,24.50324821472168,66500.0
1993-03-02,44.3125,44.9375,44.25,44.9375,24.866395950317383,182400.0
1993-03-03,45.0,45.15625,44.9375,45.125,24.970142364501953,280100.0
1993-03-04,45.1875,45.1875,44.875,44.875,24.831811904907227,89500.0
1993-03-05,44.9375,45.125,44.71875,44.75,24.76264190673828,40000.0
1993-03-08,44.84375,45.75,44.84375,45.75,25.315988540649418,50800.0
1993-03-09,45.65625,45.6875,45.5,45.59375,25.229530334472656,169300.0
1993-03-10,45.59375,45.6875,45.40625,45.6875,25.281423568725582,194400.0
1993-03-11,45.71875,45.84375,45.5,45.5625,25.212244033813477,70900.0
1993-03-12,45.1875,45.21875,44.8125,45.09375,24.95285415649414,643600.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.073902130126953,310800.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.073902130126953,30800.0
1993-03-17,45.25,45.25,44.96875,45.03125,24.91827392578125,21800.0
1993-03-18,45.21875,45.5,45.21875,45.3125,25.073902130126953,59300.0
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.035959243774418,66900.0
1993-03-22,44.59375,44.875,44.5625,44.78125,24.89696502685547,183400.0
1993-03-23,44.90625,44.9375,44.8125,44.875,24.94908332824707,55200.0
1993-03-24,44.8125,45.0625,44.59375,44.875,24.94908332824707,37200.0
1993-03-25,44.90625,45.25,44.84375,45.15625,25.105438232421875,110100.0
1993-03-26,45.125,45.15625,44.875,44.90625,24.966459274291992,101500.0
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.070707321166992,87100.0
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.140207290649418,56000.0
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.122817993164062,111600.0
1993-04-01,45.25,45.25,44.9375,45.03125,25.035959243774418,129500.0
1993-04-02,44.65625,44.65625,44.09375,44.09375,24.514739990234375,59400.0
1993-04-05,44.4375,44.4375,44.1875,44.3125,24.63633728027344,172200.0
1993-04-06,44.40625,44.40625,44.0625,44.1875,24.56685447692871,129700.0
1993-04-07,44.25,44.34375,44.15625,44.34375,24.653724670410156,28000.0
1993-04-08,44.53125,44.53125,44.09375,44.28125,24.618972778320312,180800.0
1993-04-12,44.71875,44.9375,44.65625,44.90625,24.966459274291992,348500.0
1993-04-13,44.875,45.15625,44.84375,45.0,25.01858139038086,146100.0
1993-04-14,45.03125,45.0625,44.90625,44.9375,24.983837127685547,119600.0
1993-04-15,44.90625,45.03125,44.75,44.9375,24.983837127685547,148600.0
1993-04-16,44.96875,45.03125,44.875,44.9375,24.983837127685547,47900.0
1993-04-19,44.9375,45.0625,44.71875,44.75,24.87959861755371,157000.0
1993-04-20,44.6875,44.75,44.25,44.53125,24.75796127319336,279500.0
1993-04-21,44.625,44.625,44.375,44.5,24.740591049194336,67900.0
1993-04-22,44.3125,44.6875,43.9375,43.9375,24.42786407470703,97700.0
1993-04-23,43.84375,43.96875,43.6875,43.75,24.3236141204834,106000.0
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.13251304626465,62600.0
1993-04-27,43.34375,43.875,43.34375,43.875,24.39311981201172,156800.0
1993-04-28,43.8125,43.90625,43.71875,43.78125,24.340984344482425,85900.0
1993-04-29,43.875,43.96875,43.625,43.96875,24.445232391357425,85000.0
1993-04-30,44.125,44.28125,44.03125,44.03125,24.479970932006836,88500.0
1993-05-03,44.09375,44.3125,43.90625,44.3125,24.63633728027344,80500.0
1993-05-04,44.40625,44.625,44.34375,44.46875,24.72323226928711,149100.0
1993-05-05,44.46875,44.75,44.46875,44.59375,24.792707443237305,109000.0
1993-05-06,44.53125,44.5625,44.40625,44.4375,24.705848693847656,54700.0
1993-05-07,44.46875,44.46875,44.28125,44.34375,24.653724670410156,68000.0
1993-05-10,44.40625,44.6875,44.40625,44.4375,24.705848693847656,113900.0
1993-05-11,44.4375,44.625,44.3125,44.625,24.810083389282227,42600.0
1993-05-12,44.4375,44.59375,44.4375,44.5625,24.775344848632812,31000.0
1993-05-13,44.375,44.375,44.0,44.03125,24.479970932006836,129100.0
1993-05-14,44.03125,44.15625,43.96875,44.0,24.462602615356445,63500.0
1993-05-17,44.125,44.15625,43.9375,44.15625,24.549482345581055,34000.0
1993-05-18,44.1875,44.21875,43.96875,44.125,24.532102584838867,105200.0
1993-05-19,44.125,45.03125,43.84375,45.03125,25.035959243774418,50200.0
1993-05-20,45.03125,45.15625,44.9375,45.15625,25.105438232421875,98200.0
1993-05-21,45.1875,45.25,44.71875,44.75,24.87959861755371,221400.0
1993-05-24,44.84375,45.09375,44.84375,44.9375,24.983837127685547,30500.0
1993-05-25,45.125,45.125,45.03125,45.03125,25.035959243774418,191800.0
1993-05-26,45.15625,45.625,45.125,45.59375,25.34868621826172,102400.0
1993-05-27,45.65625,45.65625,45.375,45.4375,25.261816024780273,53800.0
1993-05-28,45.40625,45.40625,45.0,45.21875,25.140207290649418,79100.0
1993-06-01,45.375,45.8125,45.3125,45.65625,25.3834285736084,28300.0
1993-06-02,45.53125,45.75,45.34375,45.59375,25.34868621826172,20300.0
1993-06-03,45.5,45.5,45.34375,45.4375,25.261816024780273,21600.0
1993-06-04,45.3125,45.3125,45.09375,45.28125,25.174945831298828,32000.0
1993-06-07,45.375,45.375,45.125,45.125,25.088075637817383,121400.0
1993-06-08,45.0,45.0,44.71875,44.71875,24.862213134765625,104500.0
1993-06-09,44.875,45.0625,44.8125,44.875,24.94908332824707,43300.0
1993-06-10,44.84375,44.9375,44.75,44.90625,24.966459274291992,17900.0
1993-06-11,45.0625,45.15625,44.90625,45.09375,25.070707321166992,647400.0
