ticker,yf_ticker,name,asset_class,category,source
VXN,^VXN,CBOE NASDAQ-100 Volatility Index,Index,Volatility,yahoo
RVX,RVXCLS,CBOE Russell 2000 Volatility Index,Index,Volatility,fred
VIX,^VIX,CBOE Volatility Index,Index,Volatility,yahoo
VIX9D,^VIX9D,CBOE 9-Day Volatility Index,Index,Volatility,yahoo
VIX1D,^VIX1D,CBOE 1-Day Volatility Index,Index,Volatility,yahoo
VIX3M,^VIX3M,CBOE 3-Month Volatility Index,Index,Volatility,yahoo
VIX6M,^VIX6M,CBOE 6-Month Volatility Index,Index,Volatility,yahoo
BTC,BTC-USD,Bitcoin USD,Alternative,Cryptocurrency,yahoo
DGS3MO,DGS3MO,3-Month Treasury Constant Maturity Rate,Macro,Interest Rate,fred
